Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
25-34,Abnormally Long or Heavy Periods,10/18/2012,lessina,32970,4,5,"This is the first time that I have been on BC, and it is primarily for painful and very heavy periods. I was having my change my tampon hourly and would be in tears for 2-3 nights because of the cramps. Now, my periods are about 4 days long and I have about one day of minimal cramps. I have noticed a change in my cup size, and bloating so that my pants don't fit. Overall I'm very happy with it.",4,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,4/17/2012,lessina,32970,5,5,"I've been on Lessina for a little over a year to correct my non stop, year round, just painful period. When I first started Lessina I gained 20 pounds but I lost 30 pounds after 4 months. With taking Lessina have problems with nausea, vomiting, abdominal cramps, moodiness and dizziness through out the day not just after I take the pill. Another side effect I have that they don't list is sensitive smell almost like a pregnant woman would have which enhances the nausea and vomiting. I also have breast tenderness and sometimes vaginal itch. It doesn't always happen all at once or everyday and happens more the week before my period. If I mess up taking the pills (missing a pill and having to double it up) causes me to get really sick as if I started Lessina for the first time. My periods leveled out and are now shorter. Lessina didn't do anything for break outs but didn't cause me any. ",3,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,6/6/2009,lessina,32970,4,1,I was still bleeding heavy and my flow lasted 1month. I took it for 2 months and had to quit,1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,3/13/2012,leena,92543,1,3,"I gained 20 lbs from this pill!!! I started to get an upset stomach after everything I drank or ate and just wanted to sleep the pain off. I felt nauseua and my organs began to hurt, like someone was taking turns squeezing my kidneys, liver and intestines one at a time, alternating what to squeeze. I've never felt so much pain and wasn't sure what was going on. I had a colonoscopy, an endoscopy, a CT scan, ultrasound and obgyn screen, on top of countless blood tests. Nothing came back on any of my tests. I stopped taking leena to prep for my CT scan and 3 weeks later I felt 100% better! I told my doctors but they didn't believe me. If you are taking leena and feel like your health is declining, stop taking it for a month and see if you feel better!",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,8/7/2016,azurette,151684,2,1,First month on this was fine but now my period is on day 9 and I'm still spotting. Also having headaches and mood changes. Discussing with my doctor another option because I hate this pill,1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,4/19/2016,azurette,151684,5,5,I have been taking this for about a month   So far it has helped my period not be as heavy. I have still had bad cramps but I think it will get better the longer I keep taking the pill. I was hoping it would clear up my skin but so far it hasn't. I've actually been getting more breakouts around my chin and mouth. I have had a few side affects like my vagina being very dry and feeling irritable a lot lately. Not sure if that will go away or not I hope it will.,3, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
35-44,Abnormally Long or Heavy Periods,4/12/2016,azurette,151684,2,2,"I was taking Kariva without side effects, but changed to a different pharmacy due to the price and they switched me to Azurette.  I have been on it for 2 weeks and my mood swings are out of control.  It has been causing problems with my marriage and with my family.  I also have had breakthrough heavy bleeding for multiple days, and heart palpatations where I contemplated going to the er to have it checked out.  The extra money saved isn't worth this, I am switching back to my former pharmacy so I can get Kariva again.",1, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,2/17/2016,azurette,151684,3,3,I've been on  this for 2 months. I started taking birth control because I have irregular period and heavy periods. I got Candidiasis because of excessive Estrogen in my body so I have to switch. Other than that I was fine. ,3, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,10/16/2015,azurette,151684,3,3,"I giving Azurette and took it for 3 months with no problems. However I developed one of the most serious side effects. I went to the ER with severe shortness of breath & chest pain. I was diagnosed with extensive bilateral pulmonary embolisms. I'm an otherwise healthy 25 year old. While hospitalized for 10 days I was tested for all sorts of genetic conditions that would predispose me to blood clots, all came back negative. So the doctors are saying it was this medication. Definitely would not take again.",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,12/17/2014,azurette,151684,3,3,"I took this pill for a long time and never realized the side effects. I even saw a psychiatrist thinking something bad was happening to me. I tried several different meds but nothing helped. So, I stopped taking all meds including the pill. I felt great, positive and full of energy. I still wanted to regulate my period and not get pregnant. So, I thought I'd try the pill again. But, I noticed severe fatigue after one week of taking this pill. I fall asleep on the couch for at least two hours in the middle of the day. I also noticed that I become angry very easily and feel extremely hot for no good reason. I lash out at people and have very negative thoughts. I get a sharp pain in my uterus occasionally. I feel depressed, sad, and paranoid. My period is lighter but I spot bleed even when I take the pill on time. I am not taking this pill anymore and I feel back to normal. I would advise against using this pill.",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,4/2/2018,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,5,5,"I originally started BC to help ease my periods, so my Dr put me on Sprentec at first, but I just ended up having even longer and more frequent periods so he switched me to Notrel. When I started Sprentec, I was on my period for the first whole month, and then every two weeks after that. But with Nortel, , I had my period the first two weeks and then now about every 5-6 weeks and it'?s not nearly as heavy or long. For the first month, I did experience some bad effects of it like everyone else but since then everything has improved. Clear skin, I’ve  gained weight (but that was a goal for me), no headaches or hair loss, breasts grew, sex drive is fine, I haven’t experienced dryness like other users, cramps barely happen, so I think it's? great to me. Then again, everyone's?? body is different so everyone isn't? going to have the same exact side effects.",4, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
13-18,Abnormally Long or Heavy Periods,1/30/2018,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,3,3,"Worst medicine ever. I was prescribed this medicine for treatment of my heavy period, and this medication only made it worse. By the second week of taking it I began vomiting from being so nauseous. Same thing on Christmas morning. I felt nauseous after taking the pill and went and threw up. The first time I got my period while taking this pill, it lasted for a whole month. It didnâ??t lighten my period at all, and it made my cramps worse. It decreased my sex drive, made me gain A TON of weight, made me breakout, and put me in an awful mood all the time. I hated this so much I just stopped because Iâ??d rather have an abnormally heavy period than deal with this. ",1, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
35-44,Abnormally Long or Heavy Periods,2/13/2013,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,5,5,"While in this drug, I experienced weight gain of 30+ pounds, very difficult to lose now. I also experienced higher cholesterol (I never had a problem with it before).
Loss of libido was a big problem too. It's great to have shorter periods but losing libido was taking a toll in my relationship. I had no interest at all in intimacy. 
I felt miserable! I felt the person in the mirror was not who I was and my husband was thinking I didn't love him any more. I tried several different diets with no success. I eat 1200 calories a day and didn't lose a pound.
I talked to my Doctor about changing the drug,but he thought the drug was not the culprit. I decided I had to stop it, and basically told my Doctor I was not taking it anymore.
I stopped taking it and within 20 days libido came back and I started to lose weight already!
Talk to your Doctor if you think any drug is making changes to your health. Trust yourself! we know ourselves better than anybody else. We can tell when something is wrong in our own body even if somebody else tells us different.",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,1/22/2013,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,5,5,"I am getting ready to start my 3rd month on this particular birth control. I tried Loestrin 24fe and did not respond well so we tried Nortrel 1/35. I haven't noticed any real side effects other than at times there seems to be an inability to achieve an orgasm. I haven't had any acne issues, not too much weight gain that I couldn't lose by watching what I eat. I have noticed increased irritability around my period and an increase in the intensity of the headaches I typically get with my period. My period went from 3 days of spotting / streaking + 4 days of heavy bleeding with awful cramps to 3 days of a moderate flow period that was easily contained with a super absorbency tampon as opposed to my previous use of Ultra absorbency AND a thick overnight pad. If the headaches continue, I will check with my doctor. That could be attributed to a lot of other things, but I noticed it within my first pack. Otherwise, I recommend giving this a try.",4,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
13-18,Abnormally Long or Heavy Periods,1/29/2012,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,4,5,This pill has me very tired . I missed one pill but made sure I doubled up the next day and has been bleeding heavily for almost two weeks and have had painful cramps.  Also my lower part of my legs feel very tight and gets a tingling sensation in them . This didn't start until I got on this birth control . I do not like it at all ,1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,2/26/2011,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,1,1,"My mother put me on this when I turned 16. Im not 23, about to turn 24, and since I stopped talking it, I have had problems getting pregnant. IVE NEVER ONCE GOTTEN PREGNANT AFTER TAKING NORTREL!!! It is a problem since Im now married, 3.5 yrs, and we want to start a family. Its been disappointment after disappointment. DO NOT RECOMMEND AT ALL.",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
13-18,Abnormally Long or Heavy Periods,9/4/2010,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,1,1,"This birth control pill was awful for me. Experienced nausea daily, HEAVY periods when I wasn't even supposed to be on my period. Horrible cramps even when I wasn't near the week of my period. And headaches every single day! My doctor switched me to Seasonique, so we will see how that goes.",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
45-54,Abnormally Long or Heavy Periods,8/12/2010,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,5,3,Very tired and a little dizzy,3,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
45-54,Abnormally Long or Heavy Periods,2/7/2010,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,5,3, ,4,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
45-54,Abnormally Long or Heavy Periods,11/16/2009,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,3,2,"Two weeks after starting this pill, I developed severe leg pain.  Two months into the pill I was diagnosed with a DVT. My doctor is 100% sure it was caused by this pill.  I am 50 yrs old.  Don't take this pill if you are over 35!",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,9/10/2009,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,5,2,"My periods did not change at all. the heaviness stayed the same. But this pill caused my periods to be 11 days long as opossed to the 7 day normal periods. However, the severe cramping that I had before the pill has disapeared. So all in all I would NOT recommend this pill to someone wanted to decrease the length or flow of your period. But I would recommend this pill if you suffer from severe cramping and pain during your period.",2,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,7/14/2009,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,5,4,"I do have stomach cramps and breast tenderness and enlargement...but overall, it seems to work very well.",3,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,11/10/2008,nortrel 1/35 (28) 1 mg-35 mcg tablet,21657,5,3,"i was on yazmine for about 6 months and it worked wonderfully for me. i had nice clear skin, lighter and shorter periods and no emotional problems. then i switched to nortrel and i immediately started having bad mood swings. i'm always so irritable. and the worst part is, i absolutely CANNOT get any sleep. i have the hardest time falling asleep every single night. i'm always tired during the daytime. and on top of that, i'd get a yeast infection the week before my period.  my doctor switched me to Aviane and i have yet to start it, but hopefully it doesn't give me any problems the way nortrel has.",2,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",1
13-18,Abnormally Long or Heavy Periods,6/23/2014,nortrel 1/35 (21) 1 mg-35 mcg tablet,21656,2,4,"Awful cramps leaving me in tears, extreme outbursts, breast pain and headaches.. Not a good start for me.",2,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,11/6/2012,nortrel 1/35 (21) 1 mg-35 mcg tablet,21656,3,1,constant pain and spotting,1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,6/6/2012,nortrel 1/35 (21) 1 mg-35 mcg tablet,21656,4,4,"Love this pill, works great and have light periods that last 4-5 days, nothing like my old ones, no longer wear contacts because of my eyes being dry which can be a side effect but Im not sure if ill change because I really like this one. ",5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,5/13/2011,nortrel 1/35 (21) 1 mg-35 mcg tablet,21656,5,5,"I have been on nortrel for 5 years. I can't complain, it def has made my periods lighter and shorter. I haven't had any ""oops"" moments. Id recommend to anyone",5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,10/20/2010,nortrel 1/35 (21) 1 mg-35 mcg tablet,21656,5,5,"after trying several birth controls I was put on this particular pill.  I have been on it for a yr now and I love it!  I have a shorter, lighter period and no cramping at all.  I highly recommend it.",5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,9/11/2010,nortrel 1/35 (21) 1 mg-35 mcg tablet,21656,5,2,"I was recently on Yaz which I loved, but they wanted to switch it up.  Now I have heavy break through bleeding and acne which I have never had, cramps all the time, and breast tenderness which I never had. I will never recommend this medication.  Yaz is the best one",2,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,1/30/2010,nortrel 1/35 (21) 1 mg-35 mcg tablet,21656,4,4,I HAVENT EXPERIENCED ANY BAD SIDE EFFECTS FROM THIS BC BUT I DO HAVE ONE QUESTION..HAS ANYONE EXPERIENCED HAVING A YEAST INFECTION WHILE ON THIS BC?,4,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,6/17/2016,nortrel,75162,5,5,"As a teenager i had the worst cramps, and my periods would last longer than 7 days. When i began taking them my periods are now 3-4 days and my acne is no longer there. ",5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
35-44,Abnormally Long or Heavy Periods,1/6/2016,nortrel,75162,1,1,this drug nearly killed me.  i had a clot that caused a heart attack,1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,1/5/2011,nortrel,75162,5,5,"I was first put on a different birth control to help with my Dysmenorrhea, but it was making me even more irritable so they switched me to this and I have been much easier to get along with my family says! It has shortened my periods and I no longer cramp and hurt from them, my acne has cleared up. The only bad thing is when the sugar pills start I get a horrible headache for about 3 days. I am extremely happier on this and will stay on it. ",5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",1
25-34,Abnormally Long or Heavy Periods,6/3/2010,nortrel,75162,5,5,"My periods are light and my skin is clear!
I have been using the pills for 2 months and I am completely satisfied!I have had no side effects other that a brief period of nausea(very mild) in the first few days. ",5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,5/17/2015,norinyl 1+35,17158,5,5,"When I started this it was a shot in the dark. There was no way knowing if it would work and if it didn't I would need surgery. After 4 weeks I had my last ER visit where I was in a lot of pain. The doctors and nurses were there as I went through the worst trying to make me more comfortable. Then the bleeding eased up, the pain reduced. It took a total of 5 weeks for the bleeding to completely stop. 

6 months later I only have spotting on the off weeks. No pain. Acne cleared up too. And the best part is I didn't need surgery. So if you're experiencing heavy painful bleeding be willing to give this a chance. ",5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
45-54,Abnormally Long or Heavy Periods,1/5/2011,norinyl 1+35,17158,5,5,"The heavy bleeding menstruations stopped, however I only drink the white pills.
If I use also the pink pills, I get symptoms like heavy headaches, painful lower abdomen, diarrhea.",5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,1/22/2019,norgestimate-ethinyl estradiol,8819,2,2,"Started this to help regulate my periods and cysts. I've been moody, crying, vomiting, and month two I started a period that's going into the next pack and it won't go away. Let's not forget I had a yeast infection the 1st month. They say allow three months but I'm miserable. ",1, ,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
13-18,Abnormally Long or Heavy Periods,11/26/2014,norgestimate-ethinyl estradiol,8819,4,4,"It's Wednesday and I've only been on this pill since Sunday and already I've had diarrhea, nausea to the point of throwing up, and anxiety. Let's just say I don't plan on taking this pill another day. ",1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",1
19-24,Abnormally Long or Heavy Periods,8/10/2011,norgestrel-ethiny estra,2758,5,5,"I have tried about 7 other brands and none of them compare to this one. I am not moody, controlled flow, and I don't feel nauseated. ",5,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,2/4/2015,norethindrone-ethin estradiol tablet,2755,5,4,"Treatment for heavy periods, severe period pain, bleeding after intercourse, PCOS and pain during intercourse.",4,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",3
35-44,Abnormally Long or Heavy Periods,3/3/2014,norethindrone-ethin estradiol tablet,2755,1,1, ,1,Female,"Nausea ,  vomiting ,  headache ,  bloating ,  breast  tenderness, swelling of the  ankles /feet (fluid retention), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,11/12/2016,natazia,154309,1,1,"Within the first month of taking this pill I knew my body wasn't reacting well. My doctor insisted I tried it for 3 months before switching to a new one. This medicine made my periods heavier and I bleed almost every other week for 7 or more days until I start a new pack then it stops for about a week. For the entire 3 months when I bleed I am in so mych pain from cramping I can hardly move. I was bed ridden for 4 days the first month. And the each time I get my period I have clots the size of an entire regukar length pad. During my heaviest days I have to change my pads every 30-45 minutes and sometimes more frequent than that and I still bleed through sometimes because it is so heavy. Also my blood has been significantly darker since starting this pill. I have gained so much weight even with diet and exercise. I get constant headaches, nausea, AND VERY BAD MOOD SWINGS! My sex drive has deminished. Another thing is this pill is very expensive and not covered by my insurance. This was my last month of trying it out and I have seen no changes. My doctor finally agreed to switch me to a new one and I start it in 2 days. Fingers crossed that I have better luck with this one. A",1, ,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
35-44,Abnormally Long or Heavy Periods,2/22/2016,natazia,154309,5,5,"I started taking this pill due to extremely heavy periods.  I was using a super plus tampon and a pad just to make the 30 minute drive to work without any leakage.  My periods are minimal. I can use a regular tampon, which I haven't used since I first started my cycle at the age of 12.  I have noticed an increase in my sex drive.  I was dieting when I started taking this pill and have continued to lose weight. ",5,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,8/26/2015,natazia,154309,5,3,"Before I started taking Natazia my periods were long, heavy and painful. Since I started my periods are lighter and shorter.  Cramps aren't as bad as before, but I've gained 40lbs, I have a headache every day, mood swings and low sex drive.  After I complete this pack, I will change.  Emotionally I feel as if I have lost control and the headaches takes away from my quality of life.  In addition to the mentioned issues.",2,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,2/13/2015,natazia,154309,5,5,"I am so happy with this pill. I switched to this from being on Yasmin for 3 years. So far, I have lost weight, and the pill is very accurate. I get my period on the first placebo pill with no cramping!",5,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
35-44,Abnormally Long or Heavy Periods,11/24/2014,natazia,154309,4,3,I HAVE LOST 13 PDS IN 2 MONTHS SINCE I have been on natazia,5,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,11/21/2014,natazia,154309,5,5,"This BC is SO amazing! I don't even use it for BC, I use it heavy and long periods. Essentially, it has cured me! I have no period, I have less mood swings, no cramps, no weight gain, no side effects. I even take it with another medication to help mood swings, and there is no interference. I love this med. I will NEVER stop taking it. It has saved my life.",5,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
35-44,Abnormally Long or Heavy Periods,9/12/2014,natazia,154309,5,5,I would have periods that were heavy that I would bleed through and it was quite embarrassing at work.  My mood swings were crazy to where I would fly off the handle at home over the simplest things.  My work was very stressful and high paced. Tried the samples I had received from my doctor and have been taking it ever since.  I had been diagnosed with fibroids which was contributing to the heavy bleeding.  I am a heavier female and I fit the profile for taking the drug.  I have been extremely happy with Natazia and will continue to take it in the future.  My monthly moodiness has taken a drastic turn to where I am not losing it.  I have had great success.  I am not taking this for preventing pregnancy as my husband has already had a vasectomy. ,5,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
19-24,Abnormally Long or Heavy Periods,8/28/2014,natazia,154309,4,5,"I have been on Natazia for about a year and a half now, and it's been amazing. Before this pill I would get horrible cramping to the point where all I could do was curl up in a ball and shake uncontrollably in pain. My periods would last a min of 2 weeks, it was ridiculous. Natazia has been amazing. It took about 2 months before my peroid got a on steady cycle. I would get my period on a Thursday night, and it'd be done by Sunday afternoon. My period is no longer so heavy that I cant leave the house with a ton of backup pads & tampons. I still get a tiny bit of cramping the first 24 hours, but I mean it's a period...you have to expect some discomfort. I am no longer sick to my stomach during my period, and back pain is gone as well. I highly recommend this medication to any female out there that has long/heavy peroids with horrible cramping. ",5,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,5/11/2014,natazia,154309,5,5,"I started on this pill to alleviate my long/heavy periods, mood swings and constant migraines.  The first 3 months on this pill were an adjustment, with more symptoms, but quickly balanced my hormones out.  I went from having two week long periods to 2-3 days, as happy as a clam, and down to about one migraine a month.  I did also experience weight gain while maintaining a controlled diet, and a heightened libido.",5,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,11/9/2013,natazia,154309,3,4,"If you are a person who gets their period for a week with constant cramps than yes this BC works well. My period skipped for two months so far, and before that it was lighter and no cramps. The only down side to this is that it has made me overly emotional. I have never been so depressed and so sensitive to things. I hope this review helps, I am going to try something else soon, I can't seem to get myself out of this funk although I have enjoyed not having my period. ",3,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
35-44,Abnormally Long or Heavy Periods,10/10/2013,natazia,154309,5,3,"I just started my 3rd pack of Natazia.  I kind of like it but I'm not sure it is the right one for me.  The first month everything was fine.  I got my period a day or two before the first white pill.  I bled on and off for a week.  It was extremely light (compared to what i'm used to experiencing).  My period ended and about a week later I started spotting on and off daily until it was time for my period again.  During my period this time, I am bleeding on and off.  I think that it's over and 12 hrs later it comes back.  I am not sure it's ever going to go away.  This has been happening daily since Sept. 22 and it is now Oct. 10th (spotting/period).  I like the pill because the bleeding is so light, I forget that i'm bleeding.  But I am frustrated because I am nervous to not wear a pad because my period/spotting shows up daily.  I want this pill to work for me.  I just started my third pack and I'm hoping that things will straighten out.",3,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
35-44,Abnormally Long or Heavy Periods,8/11/2013,natazia,154309,5,1, ,1,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
25-34,Abnormally Long or Heavy Periods,8/3/2013,natazia,154309,5,4,"I've just ended my third month on this pill and so far, I hate it. I know any new BCP takes a few months for your body to adjust, but I haven't had a period since I started-- the nurse I spoke to said this is normal, but it concerns me. I'll have bad cramps for a week or so at random times during my cycle, but no bleeding. Had HORRIBLE moodiness during first month (cried over everything). ZERO sex drive. I was on Ortho-Tri-Cyclen Lo for six years and can't remember ever having side effects, though the last six months I started having heavy bleeding again, which is why I switched. I would not recommend Natazia. ",1,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",1
35-44,Abnormally Long or Heavy Periods,7/28/2013,natazia,154309,5,5,I have been taking this pill for almost 3 years..  I have a period maybe every 3 months and its only spotting..  I have had weight gain since I have been taking this pill.  No other side effects.,3,Female,"Nausea ,  vomiting ,  headache , abdominal  cramps / bloating ,  breast  tenderness, swelling of the  ankles /feet (retaining fluid), or  weight  change may occur.",0
